path,type,required,label,opendata,generated,description,validation,thesaurus
"PRODUCTEUR","String","non","Producteur","","true","Producteur de la donnée déterminé grâce à la référence : 

      IV=INV

      OA=CAOA

      MH=CRMH

      AR=ARCH

      AP=SDAP

      Autre=SAP","",""
"BASE","String","non","","","true","Nom de la base : Photographies (Mémoire)","",""
"CONTIENT_IMAGE","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES","",""
"POP_IMPORT","Array","non","","","","","",""
"REF","String","oui","Référence","","true","Référence unique de la notice","",""
"TOUT","String","non","Index global","","","Index global [Peut etre déprécié]","",""
"ADRESSE","String","non","Adresse","","","Adresse","",""
"AUTOEU","String","non","Auteur oeuvre représentée","","","Auteur oeuvre représentée","",""
"AUTG","String","non","Auteur gravure","","","Auteur gravure","",""
"AUTP","String","non","Auteur photo","","","Auteur photo","",""
"AUTOR","String","non","Auteur original","","","Auteur original","",""
"AUTTI","String","non","Auteur tirage","","","Auteur tirage","",""
"COM","String","non","Commune","","","Commune","",""
"DOM","String","non","Domaine","","","Domaine","",""
"EDIF","String","non","Nom édifice","","","Nom édifice","",""
"EXPO","String","non","","","","Référence d’exposition de l’image ","",""
"JDATPV","String","non","Justif date pv","","","Justif date pv","",""
"LIEUCOR","String","non","Lieu cons orig.","","","Lieu cons orig.","",""
"COTECOR","String","non","Cote cons orig.","","","Cote cons orig. ","",""
"LIEUCTI","String","non","Lieu cons tir.","","","Lieu cons tir. ","",""
"COTECTI","String","non","Cote conservation du tirage","","","Cote conservation du tirage ","",""
"LIEUCP","String","non","Lieu cons pho.","","","Lieu cons pho.","",""
"COTECP","String","non","COTECP","","","Cote conservation du phototype","",""
"LEG","String","non","Légende","","","Légende ","",""
"OBJT","String","non","Nom objet","","","Nom objet","",""
"OBS","String","non","Obs phototype","","","Obs phototype","",""
"OBSOR","String","non","Obs original","","","Obs original","",""
"OBSTI","String","non","Obs tirage","","","Obs tirage","",""
"PAYS","String","non","Pays","","","Pays","",""
"PUBLI","String","non","Publication","","","Publication ","",""
"TIREDE","String","non","Pub. photograph.","","","Pub. photograph.","",""
"ROLE","String","non","","","","","",""
"PRECOR","String","non","Préc original","","","Préc original","",""
"SERIE","String","non","Titre série","","","Titre série","",""
"THEATRE","String","non","Nom de théâtre","","","Nom de théâtre","",""
"TITRE","String","non","Titre","","","Titre","",""
"DMAJ","String","non","Date mise à jour ","","true","Date de la dernière mise à jour","",""
"DMIS","String","non","Date Mistral","","true","Date de la création POP/Mistral","",""
"IDPROD","String","non","Emetteur (nom)","","","Emetteur (nom) ","",""
"NUMCD","String","non","Numéro CD","","","Numéro CD","",""
"NUMF","String","non","No de fond","","","No de fond","",""
"INSEE","String","non","Code INSEE","","","Code INSEE","",""
"NVD","String","non","vidéodisque","","","vidéodisque","",""
"MARQ","String","non","Ordre images","","","Ordre images","",""
"ACC","String","non","Accessoire pose","","","Accessoire pose","",""
"ACQU","String","non","Acquisition","","","Acquisition","",""
"ADPHOT","String","non","Adresse personne","","","Adresse personne ","",""
"AIRE","String","non","Aire d'étude","","","Aire d'étude","",""
"ANUMP","String","non","Ancien numéro (ancienne cote du phototype)","","","Ancien numéro (ancienne cote du phototype)","",""
"COPY","String","non","Crédit photo","","","Crédit photo ","",""
"COULEUR","String","non","Couleur","","","Couleur [Devrait contenir oui ou non mais contient bcp plus . donnée à nettoyer]","",""
"COSTUME","String","non","Costume de la personne représentée","","","Costume de la personne représentée","",""
"DATIMM","String","non","Date immatricul","","","Date immatricul","",""
"DATOEU","String","non","Date oeuv année","","","Date oeuv année","",""
"DATPV","String","non","Date prise vue","","","Date prise vue ","",""
"DATOR","String","non","Date original","","","Date original","",""
"DATTI","String","non","Date tirage ","","","Date tirage","",""
"DATG","String","non","Date gravure","","","Date gravure","",""
"DATD","String","non","Date dessin","","","Date dessin","",""
"DIFF","String","non","Droits diffusion","","","Droits diffusion","",""
"DPT","String","non","Département","","","Département ","",""
"EDIARCH","String","non","Interprétation","","","Interprétation","",""
"ECH","String","non","Echelle","","","Echelle ","",""
"FORMAT","String","non","Format phototype","","","Format phototype","",""
"FORMATOR","String","non","Format original","","","Format original","",""
"FORMATTI","String","non","Format tirage","","","Format tirage","",""
"LBASE","Array","non","LBASE","","","LBASE contient la référence vers la notice Palissy ou Mérimée contenant l'image","",""
"WEB","String","non","Accès Mémoire","","","Accès Mémoire","",""
"LIB","String","non","Mots candidats","","","Mots candidats","",""
"LOCA","String","non","Localisation","","","Localisation ","",""
"LIEUORIG","String","non","Lieu de dépôt","","","Lieu de dépôt","",""
"MCGEO","String","non","Nom géographique","","","Nom géographique","",""
"MCL","String","non","Mots clés","","","Mots clés","",""
"MENTIONS","String","non","Mentions photo","","","Mentions photo","",""
"MENTOR","String","non","Mentions orig","","","Mentions orig","",""
"MENTTI","String","non","Mentions tirage","","","Mentions tirage","",""
"MCPER","String","non","Nom personne","","","Nom personne","",""
"VUECD","String","non","No vue CD","","","No vue CD","",""
"NUMAUTP","String","non","Cote photographe","","","Cote photographe","",""
"NUMCAF","String","non","No carte fenêtre","","","No carte fenêtre","",""
"ANUMOR","String","non","No original(anc)","","","No original(anc)","",""
"NUMOR","String","non","No original","","","No original","",""
"NUMP","String","non","No phototype","","","No phototype","Alphanumeric",""
"ANUMTI","String","non","Ancien numéro du tirage","","","Ancien numéro du tirage","",""
"NUMTI","String","non","No tirage","","","No tirage","Alphanumeric",""
"RENV","String","non","Renvoi","","","Renvoi ","",""
"REG","String","non","Région","","","Région","",""
"SENS","String","non","Sens","","","Sens ","",""
"SCLE","String","non","Date oeuv siècle","","","Date oeuv siècle","",""
"SUP","String","non","Support","","","Support ","",""
"TECH","String","non","Technique photo","","","Technique photo","",""
"TECHOR","String","non","Technique orig","","","Technique orig","",""
"TECHTI","String","non","Technique tirage","","","Technique tirage","",""
"TOILE","String","non","Toile de fond","","","Toile de fond ","",""
"TYP","String","non","Type","","","Type  [Qu'est ce que c'est ?]","",""
"TYPDOC","String","non","Catégorie de phototype","","","Catégorie de phototype","",""
"TYPEIMG","String","non","Type image num","","","Type image num","",""
"TYPSUPP","String","non","Type support num ","","","Type support num ","",""
"VIDEO","String","non","VIDEO","","","Vidéo [Semble être doublon avec IMG]","",""
"LBASE2","String","non","Liens base ","","","Liens base  [Quelle différence avec LBASE?]","",""
"LEG2","String","non","Légende thes.","","","Légende thes. ","",""
"REFIM","String","non","Ref Image","","","Ref Image","",""
"REFIMG","String","non","Nom Image","","","Nom Image","",""
"MOSA","String","non","Mosaïques","","","Mosaïques ","",""
"SITE","String","non","SITE","","","SITE","",""
"NUMSITE","String","non","N° du site","","","N° du site ","",""
"NUMOP","String","non","N° d'opération","","","N° d'opération","",""
"CHRONO","String","non","Chronologie","","","Chronologie ","",""
"REPRO","String","non","Cote de reproduction","","","Contient le numéro du fichier numérique","",""
"STRUCT","String","non","Structure","","","Structure ","",""
"SUJET","String","non","Sujet","","","Sujet ","",""
"TICO","String","non","Titre du dossier","","","Titre du dossier","",""
"NUMI","String","non","Ident. support","","","Ident. support","",""
"LIEU","String","non","Lieu-dit","","","Lieu-dit ","",""
"ADRS","String","non","Adresse saisie","","","Adresse saisie","",""
"CONTACT","String","non","CONTACT","","true","Contact","Email",""
"EMET","String","non","Emetteur (code)","","","Emetteur (code) ","",""
"NUM","String","non","N° support","","","N° support ","",""
"IMG","String","non","Images","","","Images","",""
"WCOM","String","non","Ville","","","Ville [Quelle difference avec COM ?]","",""
"LIENS","String","non","Liens divers","","","Liens divers","",""
"LAUTP","String","non","Notice biblio","","","Notice biblio","",""
"_id","ObjectID","non","","","","","",""
"__v","Number","non","","","","","",""